magnitude, phase, angfreq
266.667,-0.000814873,1
266.667,-0.000826221,1.01393
266.667,-0.000837726,1.02804
266.667,-0.000849392,1.04236
266.667,-0.00086122,1.05688
266.667,-0.000873213,1.07159
266.667,-0.000885373,1.08652
266.667,-0.000897702,1.10165
266.667,-0.000910203,1.11699
266.667,-0.000922878,1.13254
266.667,-0.000935729,1.14831
266.667,-0.00094876,1.1643
266.667,-0.000961971,1.18052
266.667,-0.000975367,1.19696
266.667,-0.00098895,1.21362
266.667,-0.00100272,1.23052
266.667,-0.00101668,1.24766
266.667,-0.00103084,1.26503
266.667,-0.0010452,1.28265
266.667,-0.00105975,1.30051
266.667,-0.00107451,1.31862
266.667,-0.00108947,1.33698
266.667,-0.00110464,1.3556
266.667,-0.00112003,1.37448
266.667,-0.00113562,1.39362
266.667,-0.00115144,1.41303
266.667,-0.00116747,1.4327
266.667,-0.00118373,1.45265
266.667,-0.00120021,1.47288
266.667,-0.00121693,1.49339
266.667,-0.00123387,1.51419
266.667,-0.00125105,1.53528
266.667,-0.00126848,1.55665
266.667,-0.00128614,1.57833
266.667,-0.00130405,1.60031
266.667,-0.00132221,1.6226
266.667,-0.00134062,1.64519
266.667,-0.00135929,1.6681
266.667,-0.00137822,1.69133
266.667,-0.00139741,1.71488
266.667,-0.00141687,1.73876
266.667,-0.0014366,1.76298
266.667,-0.00145661,1.78753
266.667,-0.00147689,1.81242
266.667,-0.00149746,1.83766
266.667,-0.00151831,1.86325
266.667,-0.00153945,1.88919
266.667,-0.00156089,1.9155
266.667,-0.00158263,1.94217
266.667,-0.00160467,1.96922
266.667,-0.00162701,1.99664
266.667,-0.00164967,2.02445
266.667,-0.00167264,2.05264
266.667,-0.00169593,2.08122
266.667,-0.00171955,2.1102
266.667,-0.00174349,2.13959
266.667,-0.00176777,2.16938
266.667,-0.00179239,2.19959
266.667,-0.00181735,2.23022
266.667,-0.00184266,2.26128
266.667,-0.00186832,2.29277
266.667,-0.00189433,2.3247
266.667,-0.00192071,2.35707
266.667,-0.00194746,2.38989
266.667,-0.00197458,2.42317
266.667,-0.00200208,2.45692
266.667,-0.00202996,2.49113
266.667,-0.00205822,2.52582
266.667,-0.00208688,2.56099
266.667,-0.00211595,2.59666
266.667,-0.00214541,2.63282
266.667,-0.00217529,2.66948
266.667,-0.00220558,2.70665
266.667,-0.00223629,2.74434
266.667,-0.00226743,2.78256
266.667,-0.00229901,2.82131
266.667,-0.00233102,2.8606
266.667,-0.00236348,2.90043
266.667,-0.0023964,2.94082
266.667,-0.00242977,2.98177
266.667,-0.0024636,3.02329
