magnitude, phase, angfreq
400,-0.00183346,1
400,-0.001859,1.01393
400,-0.00188488,1.02804
400,-0.00191113,1.04236
400,-0.00193775,1.05688
400,-0.00196473,1.07159
400,-0.00199209,1.08652
400,-0.00201983,1.10165
400,-0.00204796,1.11699
400,-0.00207647,1.13254
400,-0.00210539,1.14831
400,-0.00213471,1.1643
400,-0.00216444,1.18052
400,-0.00219458,1.19696
400,-0.00222514,1.21362
400,-0.00225612,1.23052
400,-0.00228754,1.24766
400,-0.00231939,1.26503
400,-0.00235169,1.28265
400,-0.00238444,1.30051
400,-0.00241765,1.31862
400,-0.00245131,1.33698
400,-0.00248545,1.3556
400,-0.00252006,1.37448
400,-0.00255515,1.39362
400,-0.00259073,1.41303
400,-0.00262681,1.4327
400,-0.00266339,1.45265
400,-0.00270048,1.47288
400,-0.00273808,1.49339
400,-0.00277621,1.51419
400,-0.00281487,1.53528
400,-0.00285407,1.55665
400,-0.00289382,1.57833
400,-0.00293411,1.60031
400,-0.00297497,1.6226
400,-0.0030164,1.64519
400,-0.0030584,1.6681
400,-0.00310099,1.69133
400,-0.00314418,1.71488
400,-0.00318796,1.73876
400,-0.00323235,1.76298
400,-0.00327737,1.78753
400,-0.003323,1.81242
400,-0.00336928,1.83766
400,-0.0034162,1.86325
400,-0.00346377,1.88919
400,-0.003512,1.9155
400,-0.00356091,1.94217
400,-0.0036105,1.96922
400,-0.00366077,1.99664
400,-0.00371175,2.02445
400,-0.00376344,2.05264
400,-0.00381585,2.08122
400,-0.00386898,2.1102
400,-0.00392286,2.13959
400,-0.00397749,2.16938
400,-0.00403288,2.19959
400,-0.00408904,2.23022
400,-0.00414598,2.26128
400,-0.00420371,2.29277
400,-0.00426225,2.3247
400,-0.0043216,2.35707
400,-0.00438178,2.38989
400,-0.0044428,2.42317
400,-0.00450467,2.45692
400,-0.0045674,2.49113
400,-0.004631,2.52582
400,-0.00469549,2.56099
400,-0.00476088,2.59666
400,-0.00482717,2.63282
400,-0.0048944,2.66948
400,-0.00496255,2.70665
400,-0.00503166,2.74434
400,-0.00510173,2.78256
400,-0.00517277,2.82131
400,-0.0052448,2.8606
400,-0.00531784,2.90043
400,-0.00539189,2.94082
400,-0.00546698,2.98177
400,-0.0055431,3.02329
400,-0.00562029,3.0654
400,-0.00569856,3.10808
400,-0.00577791,3.15136
400,-0.00585837,3.19525
400,-0.00593995,3.23974
400,-0.00602267,3.28486
400,-0.00610654,3.3306
400,-0.00619158,3.37698
400,-0.0062778,3.42401
400,-0.00636522,3.47169
400,-0.00645385,3.52003
400,-0.00654373,3.56905
400,-0.00663485,3.61875
400,-0.00672724,3.66914
400,-0.00682092,3.72024
400,-0.00691591,3.77204
400,-0.00701221,3.82457
400,-0.00710986,3.87783
400,-0.00720887,3.93183
400,-0.00730926,3.98658
400,-0.00741104,4.0421
400,-0.00751424,4.09838
400,-0.00761888,4.15546
400,-0.00772498,4.21332
400,-0.00783255,4.27199
400,-0.00794162,4.33148
400,-0.00805221,4.3918
400,-0.00816434,4.45296
400,-0.00827804,4.51497
400,-0.00839331,4.57784
400,-0.00851019,4.64159
400,-0.0086287,4.70622
400,-0.00874886,4.77176
400,-0.00887069,4.83821
400,-0.00899422,4.90558
400,-0.00911946,4.9739
400,-0.00924646,5.04316
400,-0.00937522,5.11339
400,-0.00950577,5.18459
400,-0.00963814,5.25679
400,-0.00977236,5.32999
400,-0.00990844,5.40422
400,-0.0100464,5.47947
400,-0.0101863,5.55578
400,-0.0103282,5.63314
400,-0.010472,5.71159
400,-0.0106178,5.79112
400,-0.0107657,5.87177
400,-0.0109156,5.95353
400,-0.0110676,6.03644
400,-0.0112217,6.1205
400,-0.011378,6.20573
400,-0.0115364,6.29215
400,-0.0116971,6.37977
400,-0.01186,6.46861
400,-0.0120251,6.55869
400,-0.0121926,6.65002
400,-0.0123624,6.74262
400,-0.0125345,6.83652
400,-0.0127091,6.93172
400,-0.012886,7.02824
400,-0.0130655,7.12612
400,-0.0132474,7.22535
400,-0.0134319,7.32597
400,-0.0136189,7.42798
400,-0.0138086,7.53142
400,-0.0140009,7.6363
400,-0.0141959,7.74264
400,-0.0143935,7.85046
400,-0.014594,7.95978
400,-0.0147972,8.07062
400,-0.0150033,8.18301
400,-0.0152122,8.29696
400,-0.015424,8.4125
400,-0.0156388,8.52964
400,-0.0158566,8.64842
400,-0.0160774,8.76886
400,-0.0163013,8.89097
400,-0.0165283,9.01478
400,-0.0167584,9.14031
400,-0.0169918,9.26759
400,-0.0172284,9.39665
400,-0.0174683,9.5275
400,-0.0177116,9.66017
400,-0.0179582,9.7947
400,-0.0182083,9.93109
400,-0.0184619,10.0694
400,-0.018719,10.2096
400,-0.0189796,10.3518
400,-0.0192439,10.4959
400,-0.0195119,10.6421
400,-0.0197836,10.7903
400,-0.0200591,10.9405
400,-0.0203384,11.0929
400,-0.0206217,11.2474
400,-0.0209088,11.404
400,-0.0212,11.5628
400,-0.0214952,11.7238
400,-0.0217945,11.8871
400,-0.022098,12.0526
400,-0.0224058,12.2204
400,-0.0227178,12.3906
400,-0.0230341,12.5632
400,-0.0233549,12.7381
400,-0.0236801,12.9155
400,-0.0240099,13.0954
400,-0.0243442,13.2777
400,-0.0246832,13.4626
400,-0.0250269,13.6501
400,-0.0253755,13.8402
400,-0.0257288,14.0329
400,-0.0260871,14.2283
400,-0.0264504,14.4264
400,-0.0268187,14.6273
400,-0.0271922,14.831
400,-0.0275708,15.0376
400,-0.0279548,15.247
400,-0.0283441,15.4593
400,-0.0287388,15.6746
400,-0.029139,15.8928
400,-0.0295447,16.1141
400,-0.0299562,16.3385
400,-0.0303733,16.5661
400,-0.0307963,16.7967
400,-0.0312251,17.0307
400,-0.0316599,17.2678
400,-0.0321008,17.5083
400.001,-0.0325478,17.7521
400.001,-0.0330011,17.9993
400.001,-0.0334606,18.2499
400.001,-0.0339266,18.5041
400.001,-0.034399,18.7617
400.001,-0.034878,19.023
400.001,-0.0353637,19.2879
400.001,-0.0358562,19.5565
400.001,-0.0363555,19.8288
400.001,-0.0368618,20.105
