magnitude, phase, angfreq
0.122486,-80.777,4648.73
0.120542,-80.6168,4735.33
0.11864,-80.4542,4823.55
0.11678,-80.2893,4913.41
0.11496,-80.122,5004.94
0.113181,-79.9524,5098.18
0.111441,-79.7804,5193.15
0.10974,-79.6061,5289.89
0.108077,-79.4294,5388.44
0.106453,-79.2503,5488.82
0.104866,-79.0689,5591.07
0.103316,-78.8852,5695.23
0.101803,-78.6992,5801.32
0.100326,-78.5108,5909.4
0.098885,-78.3202,6019.48
0.0974794,-78.1274,6131.62
0.0961089,-77.9323,6245.84
0.0947732,-77.735,6362.2
0.0934718,-77.5356,6480.72
0.0922047,-77.3341,6601.45
0.0909713,-77.1305,6724.43
0.0897716,-76.925,6849.7
0.0886052,-76.7175,6977.3
0.0874719,-76.5081,7107.28
0.0863716,-76.297,7239.68
0.0853041,-76.0841,7374.55
0.0842693,-75.8696,7511.93
0.0832671,-75.6537,7651.87
0.0822974,-75.4363,7794.42
0.0815747,-75.2684,7905.69
0.0813602,-75.2176,7939.62
0.0804554,-74.9978,8087.52
0.0795831,-74.7769,8238.19
0.0787434,-74.5552,8391.66
0.0779365,-74.3329,8547.98
0.0771623,-74.11,8707.22
0.0764213,-73.8868,8869.43
0.0757135,-73.6635,9034.66
0.0750394,-73.4404,9202.97
0.0743993,-73.2177,9374.41
0.0737937,-72.9956,9549.04
0.073223,-72.7746,9726.93
0.0726879,-72.5548,9908.14
0.072189,-72.3366,10092.7
0.0717271,-72.1205,10280.7
0.0713031,-71.9069,10472.3
0.070918,-71.6961,10667.3
0.0705728,-71.4887,10866.1
0.0702689,-71.2853,11068.5
0.0700076,-71.0863,11274.7
0.0697905,-70.8925,11484.7
0.0696194,-70.7046,11698.7
0.0694963,-70.5233,11916.6
0.0694234,-70.3494,12138.6
0.0694032,-70.1839,12364.7
0.0694387,-70.0279,12595.1
0.0695329,-69.8824,12829.7
0.0696896,-69.7488,13068.7
0.0699127,-69.6284,13312.2
0.0702069,-69.5229,13560.2
0.0705775,-69.434,13812.8
0.0710304,-69.3637,14070.1
0.0715725,-69.3143,14332.2
0.0722117,-69.2884,14599.2
0.0729568,-69.289,14871.2
0.0738183,-69.3193,15148.2
0.0748083,-69.3834,15430.4
0.0755608,-69.4485,15625
0.0759407,-69.4858,15717.8
0.0772319,-69.6318,16010.6
0.0787011,-69.8276,16308.9
0.0803711,-70.0807,16612.7
0.0822686,-70.3999,16922.2
0.0844258,-70.796,17237.4
0.0868812,-71.2818,17558.6
0.0896813,-71.8732,17885.7
0.0928825,-72.5899,18218.9
0.0965532,-73.4566,18558.3
0.100778,-74.5042,18904
0.105658,-75.7727,19256.1
0.11132,-77.3135,19614.9
0.117915,-79.1941,19980.3
0.118298,-79.3058,20000
0.125621,-81.5033,20352.5
0.134634,-84.3594,20731.6
0.145146,-87.9194,21117.8
0.157271,-92.3886,21511.2
0.17089,-98.0241,21912
0.185338,-105.115,22320.2
0.198939,-113.904,22736
0.208677,-124.409,23159.5
0.210887,-136.196,23591
0.203521,-148.314,24030.4
0.188047,-159.661,24478.1
0.168373,-169.484,24934.1
0.148182,-177.565,25398.6
0.1296,-184.045,25871.7
0.113402,-189.202,26353.7
0.0996259,-193.317,26844.6
0.0880078,-196.624,27344.7
0.0782115,-199.309,27854.1
0.0699176,-201.51,28373
0.0628532,-203.331,28901.6
0.0567948,-204.853,29440
0.051563,-206.135,29988.4
0.0470142,-207.223,30547.1
0.0430338,-208.153,31116.2
0.0395298,-208.953,31695.8
0.036428,-209.645,32286.3
0.0336679,-210.248,32887.7
0.0312003,-210.775,33500.4
0.0289845,-211.238,34124.5
0.0269866,-211.648,34760.2
0.0251785,-212.013,35407.7
0.0235366,-212.338,36067.3
0.0220408,-212.631,36739.2
0.020674,-212.896,37423.7
0.0194216,-213.136,38120.8
0.0182712,-213.357,38831
0.0172118,-213.56,39554.4
0.0162342,-213.749,40291.2
0.01533,-213.926,41041.8
0.0144922,-214.092,41806.4
0.0137145,-214.251,42585.2
0.0129912,-214.403,43378.5
0.0123175,-214.549,44186.6
0.011689,-214.692,45009.8
0.0111019,-214.832,45848.2
0.0105526,-214.971,46702.3
0.0100381,-215.108,47572.4
0.00955548,-215.246,48458.6
0.00910235,-215.384,49361.3
0.0086764,-215.524,50280.9
0.00827558,-215.665,51217.6
0.00789803,-215.809,52171.7
0.00754205,-215.956,53143.6
0.00720612,-216.106,54133.6
0.00688883,-216.261,55142.1
0.0065889,-216.419,56169.3
0.00630514,-216.582,57215.7
0.0060365,-216.749,58281.5
0.00578198,-216.922,59367.3
0.00554067,-217.1,60473.2
0.00531173,-217.283,61599.8
0.0050944,-217.472,62747.3
0.00488795,-217.667,63916.2
0.00469173,-217.868,65106.9
0.00450513,-218.074,66319.8
0.00432758,-218.287,67555.3
0.00415855,-218.506,68813.8
0.00399755,-218.732,70095.7
0.00384413,-218.964,71401.5
0.00369787,-219.202,72731.7
0.00355836,-219.447,74086.6
0.00342523,-219.698,75466.7
0.00329815,-219.955,76872.6
0.00317679,-220.219,78304.7
0.00306084,-220.49,79763.4
0.00295002,-220.766,81249.3
0.00284407,-221.05,82762.9
0.00274273,-221.339,84304.7
0.00264578,-221.635,85875.2
0.00255299,-221.936,87475
0.00246415,-222.244,89104.5
0.00237906,-222.558,90764.5
0.00229755,-222.878,92455.3
0.00221944,-223.203,94177.7
0.00214457,-223.535,95932.1
0.00207277,-223.871,97719.2
0.00200391,-224.214,99539.6
0.00193784,-224.561,101394
0.00187444,-224.914,103283
0.00181358,-225.271,105207
0.00175515,-225.634,107167
0.00169902,-226.001,109163
0.00164511,-226.373,111197
0.0015933,-226.749,113268
0.0015435,-227.129,115378
0.00149563,-227.513,117528
0.00144959,-227.901,119717
0.00140531,-228.293,121947
0.0013627,-228.688,124219
0.00132171,-229.086,126533
0.00128224,-229.487,128890
0.00124425,-229.892,131291
0.00120766,-230.299,133737
0.00117241,-230.708,136229
0.00113845,-231.119,138766
0.00110573,-231.533,141352
0.00107419,-231.949,143985
0.00104377,-232.366,146667
0.00101444,-232.784,149399
0.000986152,-233.204,152183
0.000958855,-233.625,155018
0.000932513,-234.047,157905
0.000907084,-234.469,160847
0.000882533,-234.892,163843
0.000858823,-235.315,166896
0.000835919,-235.738,170005
0.00081379,-236.161,173172
0.000792403,-236.584,176398
0.00077173,-237.006,179684
0.00075174,-237.427,183031
0.000732408,-237.848,186441
0.000713707,-238.267,189914
0.000695612,-238.686,193452
0.000678099,-239.103,197056
0.000661146,-239.518,200727
0.00064473,-239.932,204466
0.000628831,-240.344,208275
0.000613428,-240.754,212155
0.000598503,-241.161,216107
0.000584038,-241.567,220133
0.000570014,-241.97,224234
0.000556415,-242.371,228411
0.000543225,-242.769,232666
0.000530429,-243.164,237001
0.000518012,-243.556,241416
0.00050596,-243.946,245913
0.000494259,-244.332,250494
0.000482897,-244.716,255161
0.000471861,-245.096,259914
0.000461139,-245.472,264756
0.00045072,-245.846,269688
0.000440594,-246.216,274712
0.000430749,-246.582,279830
0.000421175,-246.945,285043
0.000411864,-247.304,290353
0.000402807,-247.659,295762
0.000393993,-248.011,301271
0.000385415,-248.359,306884
0.000377065,-248.703,312601
0.000368935,-249.043,318424
0.000361017,-249.379,324356
0.000353305,-249.711,330399
0.000345791,-250.039,336553
0.00033847,-250.364,342823
0.000331334,-250.684,349210
0.000324378,-251.001,355715
0.000317596,-251.313,362342
0.000310983,-251.621,369092
0.000304532,-251.925,375967
0.000298239,-252.226,382971
0.000292099,-252.522,390106
0.000286107,-252.814,397373
0.000280259,-253.103,404776
0.00027455,-253.387,412316
0.000268977,-253.667,419997
0.000263534,-253.944,427821
0.000258218,-254.216,435791
0.000253026,-254.484,443910
0.000247953,-254.749,452179
0.000242996,-255.01,460603
0.000238153,-255.266,469183
0.000233419,-255.52,477924
0.000228792,-255.769,486827
0.000224268,-256.014,495896
0.000219845,-256.256,505134
0.000215519,-256.494,514544
0.000211289,-256.728,524130
0.000207152,-256.959,533894
0.000203105,-257.186,543840
0.000199145,-257.41,553971
0.000195271,-257.63,564291
0.000191481,-257.846,574803
0.000187771,-258.059,585511
0.00018414,-258.269,596418
0.000180586,-258.475,607529
0.000177106,-258.678,618847
0.0001737,-258.877,630375
0.000170365,-259.074,642119
0.0001671,-259.267,654081
0.000163902,-259.457,666265
0.00016077,-259.644,678677
0.000157703,-259.827,691320
0.000154698,-260.008,704199
0.000151755,-260.185,717317
0.000148872,-260.36,730680
0.000146047,-260.532,744292
0.00014328,-260.701,758158
0.000140568,-260.866,772281
0.00013791,-261.03,786668
0.000135306,-261.19,801323
0.000132754,-261.348,816251
0.000130253,-261.502,831457
0.000127801,-261.655,846946
0.000125398,-261.804,862724
0.000123043,-261.951,878795
0.000120733,-262.096,895166
0.00011847,-262.238,911843
0.00011625,-262.377,928829
0.000114074,-262.515,946132
0.000111941,-262.649,963758
0.000109849,-262.782,981712
0.000107798,-262.912,1e+06
