magnitude, phase, angfreq
8.00042,-89.8969,100
7.85412,-89.895,101.863
7.7105,-89.893,103.761
7.5695,-89.891,105.693
7.43109,-89.889,107.662
7.2952,-89.8869,109.668
7.1618,-89.8848,111.711
7.03084,-89.8827,113.792
6.90228,-89.8805,115.912
6.77606,-89.8782,118.071
6.65216,-89.876,120.271
6.53052,-89.8737,122.511
6.41111,-89.8713,124.794
6.29388,-89.8689,127.118
6.17879,-89.8665,129.486
6.06582,-89.864,131.899
5.9549,-89.8614,134.356
5.84602,-89.8589,136.859
5.73913,-89.8562,139.408
5.63419,-89.8536,142.005
5.53117,-89.8508,144.651
5.43004,-89.8481,147.345
5.33075,-89.8452,150.09
5.23329,-89.8423,152.886
5.1376,-89.8394,155.734
5.04367,-89.8364,158.636
4.95145,-89.8334,161.591
4.86092,-89.8303,164.601
4.77205,-89.8271,167.668
4.68481,-89.8239,170.791
4.59915,-89.8206,173.973
4.51507,-89.8173,177.214
4.43253,-89.8139,180.515
4.35149,-89.8104,183.878
4.27194,-89.8069,187.303
4.19384,-89.8033,190.792
4.11717,-89.7996,194.347
4.04191,-89.7959,197.967
3.96802,-89.7921,201.655
3.89548,-89.7882,205.412
3.82427,-89.7843,209.238
3.75436,-89.7802,213.136
3.68574,-89.7762,217.107
3.61836,-89.772,221.151
3.55222,-89.7677,225.271
3.48729,-89.7634,229.468
3.42355,-89.759,233.742
3.36098,-89.7545,238.097
3.29955,-89.75,242.532
3.23924,-89.7453,247.05
3.18004,-89.7406,251.653
3.12192,-89.7357,256.341
3.06487,-89.7308,261.116
3.00886,-89.7258,265.98
2.95387,-89.7207,270.935
2.89989,-89.7155,275.983
2.8469,-89.7102,281.124
2.79488,-89.7048,286.361
2.74381,-89.6993,291.696
2.69368,-89.6937,297.13
2.64446,-89.688,302.665
2.59614,-89.6822,308.303
2.54871,-89.6763,314.047
2.50215,-89.6703,319.897
2.45644,-89.6641,325.856
2.41157,-89.6579,331.927
2.36751,-89.6515,338.11
2.32427,-89.645,344.409
2.28182,-89.6384,350.825
2.24014,-89.6317,357.36
2.19923,-89.6249,364.017
2.15906,-89.6179,370.799
2.11963,-89.6108,377.706
2.08093,-89.6035,384.743
2.04293,-89.5962,391.91
2.00563,-89.5887,399.211
1.96901,-89.581,406.648
1.93307,-89.5732,414.223
1.89778,-89.5653,421.94
1.86314,-89.5572,429.8
1.82913,-89.549,437.807
1.79575,-89.5406,445.963
1.76297,-89.5321,454.271
1.7308,-89.5234,462.733
1.69922,-89.5145,471.353
1.66822,-89.5055,480.134
1.63778,-89.4963,489.079
1.60791,-89.4869,498.19
1.57858,-89.4774,507.471
1.54979,-89.4677,516.924
1.52153,-89.4578,526.554
1.49378,-89.4477,536.363
1.46655,-89.4375,546.355
1.43981,-89.4271,556.533
1.41357,-89.4164,566.901
1.3878,-89.4056,577.462
1.36251,-89.3946,588.219
1.33768,-89.3833,599.177
1.31331,-89.3719,610.339
1.28939,-89.3602,621.709
1.26591,-89.3484,633.291
1.24285,-89.3363,645.088
1.22022,-89.324,657.106
1.19801,-89.3115,669.347
1.17621,-89.2987,681.816
1.1548,-89.2857,694.518
1.13379,-89.2725,707.456
1.11316,-89.259,720.635
1.09292,-89.2453,734.06
1.07305,-89.2313,747.735
1.05354,-89.2171,761.664
1.03439,-89.2026,775.853
1.01559,-89.1879,790.307
0.997142,-89.1728,805.029
0.979031,-89.1575,820.026
0.961254,-89.142,835.302
0.943805,-89.1261,850.863
0.926677,-89.11,866.714
0.909865,-89.0935,882.86
0.893362,-89.0768,899.307
0.877165,-89.0598,916.06
0.861266,-89.0424,933.125
0.84566,-89.0248,950.508
0.830343,-89.0068,968.215
0.815309,-88.9885,986.252
0.800552,-88.9699,1004.63
0.786068,-88.9509,1023.34
0.771852,-88.9316,1042.4
0.757899,-88.912,1061.82
0.744205,-88.892,1081.6
0.730764,-88.8716,1101.75
0.717572,-88.8509,1122.28
0.704624,-88.8298,1143.18
0.691917,-88.8084,1164.48
0.679445,-88.7865,1186.17
0.667205,-88.7643,1208.27
0.655192,-88.7417,1230.78
0.643403,-88.7187,1253.71
0.631833,-88.6953,1277.06
0.620478,-88.6714,1300.85
0.609335,-88.6472,1325.09
0.5984,-88.6225,1349.77
0.587668,-88.5974,1374.92
0.577137,-88.5719,1400.53
0.566802,-88.5459,1426.62
0.556661,-88.5194,1453.2
0.54671,-88.4926,1480.27
0.536945,-88.4652,1507.85
0.527363,-88.4374,1535.93
0.51796,-88.4091,1564.55
0.508735,-88.3804,1593.69
0.499683,-88.3511,1623.38
0.490801,-88.3214,1653.62
0.482087,-88.2911,1684.43
0.473537,-88.2604,1715.81
0.465149,-88.2291,1747.77
0.456919,-88.1974,1780.33
0.448846,-88.1651,1813.5
0.440925,-88.1323,1847.28
0.433156,-88.0989,1881.69
0.425533,-88.065,1916.75
0.418057,-88.0306,1952.46
0.410723,-87.9956,1988.83
0.403529,-87.9601,2025.88
0.396473,-87.924,2063.62
0.389553,-87.8873,2102.06
0.382765,-87.8501,2141.22
0.376109,-87.8123,2181.11
0.369581,-87.7739,2221.74
0.363179,-87.735,2263.13
0.356902,-87.6954,2305.29
0.350747,-87.6553,2348.23
0.344712,-87.6146,2391.98
0.338795,-87.5734,2436.54
0.332994,-87.5315,2481.93
0.327307,-87.489,2528.17
0.321733,-87.446,2575.26
0.316269,-87.4024,2623.24
0.310913,-87.3582,2672.11
0.305664,-87.3134,2721.88
0.30052,-87.268,2772.59
0.29548,-87.2221,2824.24
0.290541,-87.1756,2876.85
0.285703,-87.1285,2930.45
0.280963,-87.0809,2985.04
0.27632,-87.0327,3040.65
0.271772,-86.984,3097.29
0.267318,-86.9348,3154.99
0.262957,-86.885,3213.76
0.258687,-86.8348,3273.63
0.254507,-86.7841,3334.62
0.250415,-86.7329,3396.74
0.24641,-86.6813,3460.02
0.242491,-86.6293,3524.47
0.238657,-86.5769,3590.13
0.234907,-86.5241,3657.01
0.231239,-86.4709,3725.14
0.227652,-86.4175,3794.53
0.224146,-86.3638,3865.22
0.220719,-86.3099,3937.23
0.21737,-86.2558,4010.57
0.214098,-86.2016,4085.29
0.210903,-86.1473,4161.39
0.207783,-86.0929,4238.91
0.204738,-86.0386,4317.88
0.201767,-85.9844,4398.32
0.198869,-85.9304,4480.25
0.196043,-85.8766,4563.72
0.19329,-85.8231,4648.73
0.190607,-85.7701,4735.33
0.187996,-85.7176,4823.55
0.185454,-85.6657,4913.41
0.182982,-85.6146,5004.94
0.18058,-85.5643,5098.18
0.178246,-85.515,5193.15
0.175981,-85.4669,5289.89
0.173785,-85.4201,5388.44
0.171657,-85.3748,5488.82
0.169597,-85.3311,5591.07
0.167606,-85.2893,5695.23
0.165683,-85.2496,5801.32
0.163829,-85.2122,5909.4
0.162043,-85.1774,6019.48
0.160326,-85.1454,6131.62
0.158679,-85.1166,6245.84
0.157102,-85.0913,6362.2
0.155596,-85.0698,6480.72
0.154162,-85.0526,6601.45
0.1528,-85.04,6724.43
0.151512,-85.0325,6849.7
0.150299,-85.0306,6977.3
0.149163,-85.0349,7107.28
0.148105,-85.046,7239.68
0.147127,-85.0644,7374.55
0.146231,-85.0911,7511.93
0.14542,-85.1266,7651.87
0.144696,-85.172,7794.42
0.144202,-85.2141,7905.69
0.144063,-85.2282,7939.62
0.143524,-85.2961,8087.52
0.143083,-85.3771,8238.19
0.142745,-85.4725,8391.66
0.142513,-85.5836,8547.98
0.142394,-85.7121,8707.22
0.142394,-85.8599,8869.43
0.14252,-86.0288,9034.66
0.14278,-86.2214,9202.97
0.143182,-86.44,9374.41
0.143737,-86.6877,9549.04
0.144456,-86.9676,9726.93
0.145351,-87.2837,9908.14
0.146438,-87.6402,10092.7
0.147733,-88.0421,10280.7
0.149254,-88.4951,10472.3
0.151023,-89.0058,10667.3
0.153064,-89.5819,10866.1
0.155406,-90.2325,11068.5
0.15808,-90.9681,11274.7
0.161122,-91.8012,11484.7
0.164574,-92.7468,11698.7
0.168481,-93.8226,11916.6
0.172896,-95.0498,12138.6
0.177874,-96.454,12364.7
0.183477,-98.0662,12595.1
0.189765,-99.9236,12829.7
0.196796,-102.072,13068.7
0.204607,-104.564,13312.2
0.213207,-107.466,13560.2
0.222535,-110.852,13812.8
0.232422,-114.806,14070.1
0.242517,-119.415,14332.2
0.252213,-124.757,14599.2
0.260578,-130.879,14871.2
0.266377,-137.764,15148.2
0.268255,-145.302,15430.4
0.266719,-150.682,15625
0.265132,-153.267,15717.8
0.256667,-161.344,16010.6
0.243484,-169.194,16308.9
0.226964,-176.527,16612.7
0.208743,-183.159,16922.2
0.190249,-189.016,17237.4
0.17248,-194.108,17558.6
0.156005,-198.497,17885.7
0.141065,-202.266,18218.9
0.127697,-205.501,18558.3
0.115821,-208.285,18904
0.105305,-210.687,19256.1
0.0960001,-212.769,19614.9
0.0877581,-214.582,19980.3
0.0873445,-214.672,20000
0.0804435,-216.168,20352.5
0.0739351,-217.562,20731.6
0.0681271,-218.793,21117.8
0.0629283,-219.885,21511.2
0.0582603,-220.859,21912
0.0540559,-221.73,22320.2
0.0502579,-222.513,22736
0.0468169,-223.219,23159.5
0.0436907,-223.859,23591
0.0408432,-224.442,24030.4
0.0382428,-224.975,24478.1
0.0358626,-225.463,24934.1
0.033679,-225.913,25398.6
0.0316714,-226.33,25871.7
0.0298219,-226.717,26353.7
0.0281148,-227.079,26844.6
0.0265363,-227.418,27344.7
0.0250742,-227.737,27854.1
0.0237177,-228.04,28373
0.0224571,-228.327,28901.6
0.0212841,-228.602,29440
0.0201909,-228.866,29988.4
0.0191709,-229.12,30547.1
0.0182177,-229.366,31116.2
0.0173261,-229.606,31695.8
0.0164911,-229.84,32286.3
0.0157082,-230.069,32887.7
0.0149733,-230.295,33500.4
0.0142829,-230.519,34124.5
0.0136335,-230.74,34760.2
0.0130222,-230.961,35407.7
0.0124463,-231.18,36067.3
0.0119032,-231.4,36739.2
0.0113906,-231.62,37423.7
0.0109064,-231.841,38120.8
0.0104487,-232.064,38831
0.0100157,-232.288,39554.4
0.00960584,-232.514,40291.2
0.00921753,-232.743,41041.8
0.00884941,-232.974,41806.4
0.00850021,-233.208,42585.2
0.00816875,-233.445,43378.5
0.00785393,-233.685,44186.6
0.00755474,-233.929,45009.8
0.00727023,-234.176,45848.2
0.00699954,-234.426,46702.3
0.00674185,-234.68,47572.4
0.0064964,-234.937,48458.6
0.00626249,-235.198,49361.3
0.00603946,-235.462,50280.9
0.00582671,-235.73,51217.6
0.00562366,-236.002,52171.7
0.00542977,-236.277,53143.6
0.00524454,-236.556,54133.6
0.00506752,-236.838,55142.1
0.00489825,-237.123,56169.3
0.00473633,-237.411,57215.7
0.00458137,-237.703,58281.5
0.00443301,-237.998,59367.3
0.00429091,-238.295,60473.2
0.00415474,-238.595,61599.8
0.00402422,-238.898,62747.3
0.00389905,-239.203,63916.2
0.00377896,-239.511,65106.9
0.00366371,-239.821,66319.8
0.00355306,-240.133,67555.3
0.00344679,-240.447,68813.8
0.00334468,-240.763,70095.7
