magnitude, phase, angfreq
16.0028,-90.447,100
15.7102,-90.4553,101.863
15.423,-90.4638,103.761
15.141,-90.4724,105.693
14.8642,-90.4812,107.662
14.5925,-90.4902,109.668
14.3257,-90.4993,111.711
14.0639,-90.5086,113.792
13.8068,-90.5181,115.912
13.5544,-90.5278,118.071
13.3066,-90.5376,120.271
13.0634,-90.5476,122.511
12.8246,-90.5578,124.794
12.5902,-90.5682,127.118
12.3601,-90.5788,129.486
12.1342,-90.5896,131.899
11.9124,-90.6006,134.356
11.6947,-90.6118,136.859
11.4809,-90.6232,139.408
11.2711,-90.6348,142.005
11.0651,-90.6466,144.651
10.8629,-90.6587,147.345
10.6644,-90.6709,150.09
10.4695,-90.6834,152.886
10.2782,-90.6962,155.734
10.0904,-90.7092,158.636
9.90601,-90.7224,161.591
9.72501,-90.7358,164.601
9.54733,-90.7496,167.668
9.37289,-90.7635,170.791
9.20165,-90.7778,173.973
9.03355,-90.7923,177.214
8.86852,-90.807,180.515
8.70651,-90.8221,183.878
8.54747,-90.8374,187.303
8.39135,-90.853,190.792
8.23808,-90.8689,194.347
8.08761,-90.8851,197.967
7.93991,-90.9016,201.655
7.79491,-90.9184,205.412
7.65256,-90.9356,209.238
7.51282,-90.953,213.136
7.37564,-90.9708,217.107
7.24098,-90.9889,221.151
7.10878,-91.0073,225.271
6.979,-91.0261,229.468
6.8516,-91.0453,233.742
6.72653,-91.0648,238.097
6.60376,-91.0846,242.532
6.48323,-91.1049,247.05
6.36492,-91.1255,251.653
6.24877,-91.1465,256.341
6.13476,-91.1679,261.116
6.02283,-91.1896,265.98
5.91295,-91.2118,270.935
5.80509,-91.2345,275.983
5.69921,-91.2575,281.124
5.59527,-91.281,286.361
5.49323,-91.3049,291.696
5.39307,-91.3292,297.13
5.29474,-91.354,302.665
5.19822,-91.3793,308.303
5.10346,-91.4051,314.047
5.01045,-91.4313,319.897
4.91915,-91.458,325.856
4.82952,-91.4853,331.927
4.74153,-91.513,338.11
4.65516,-91.5413,344.409
4.57038,-91.5701,350.825
4.48715,-91.5994,357.36
4.40546,-91.6293,364.017
4.32526,-91.6597,370.799
4.24654,-91.6908,377.706
4.16926,-91.7224,384.743
4.09341,-91.7546,391.91
4.01895,-91.7874,399.211
3.94585,-91.8208,406.648
3.87411,-91.8548,414.223
3.80368,-91.8895,421.94
3.73455,-91.9249,429.8
3.66669,-91.9609,437.807
3.60008,-91.9976,445.963
3.5347,-92.035,454.271
3.47052,-92.0731,462.733
3.40752,-92.1119,471.353
3.34569,-92.1514,480.134
3.28499,-92.1917,489.079
3.22542,-92.2328,498.19
3.16694,-92.2746,507.471
3.10955,-92.3172,516.924
3.05321,-92.3607,526.554
2.99791,-92.405,536.363
2.94363,-92.4501,546.355
2.89036,-92.496,556.533
2.83807,-92.5429,566.901
2.78675,-92.5906,577.462
2.73638,-92.6392,588.219
2.68694,-92.6888,599.177
2.63842,-92.7393,610.339
2.59079,-92.7908,621.709
2.54405,-92.8433,633.291
2.49818,-92.8967,645.088
2.45315,-92.9512,657.106
2.40896,-93.0068,669.347
2.3656,-93.0634,681.816
2.32304,-93.1211,694.518
2.28127,-93.1799,707.456
