magnitude, phase, angfreq
800.005,-0.151583,20.6688
800.006,-0.153693,20.9566
800.006,-0.155834,21.2485
800.006,-0.158004,21.5443
800.006,-0.160204,21.8444
800.006,-0.162435,22.1486
800.006,-0.164697,22.457
800.007,-0.16699,22.7697
800.007,-0.169316,23.0868
800.007,-0.171674,23.4083
800.007,-0.174064,23.7342
800.007,-0.176488,24.0648
800.008,-0.178946,24.3999
800.008,-0.181438,24.7396
800.008,-0.183964,25.0842
800.008,-0.186526,25.4335
800.009,-0.189124,25.7876
800.009,-0.191757,26.1467
800.009,-0.194428,26.5108
800.009,-0.197135,26.88
800.01,-0.19988,27.2543
800.01,-0.202664,27.6339
800.01,-0.205486,28.0187
800.01,-0.208348,28.4088
800.011,-0.211249,28.8044
800.011,-0.214191,29.2056
800.011,-0.217173,29.6123
800.012,-0.220198,30.0246
800.012,-0.223264,30.4427
800.012,-0.226373,30.8666
800.013,-0.229525,31.2965
800.013,-0.232722,31.7323
800.013,-0.235963,32.1742
800.014,-0.239248,32.6222
800.014,-0.24258,33.0765
800.014,-0.245958,33.5371
800.015,-0.249383,34.0041
800.015,-0.252856,34.4776
800.016,-0.256377,34.9578
800.016,-0.259948,35.4446
800.017,-0.263568,35.9381
800.017,-0.267238,36.4386
800.017,-0.270959,36.946
800.018,-0.274733,37.4605
800.018,-0.278558,37.9822
800.019,-0.282438,38.5111
800.02,-0.286371,39.0474
800.02,-0.290359,39.5911
800.021,-0.294402,40.1424
800.021,-0.298502,40.7014
800.022,-0.302659,41.2682
800.022,-0.306873,41.8429
800.023,-0.311147,42.4256
800.024,-0.31548,43.0164
800.024,-0.319873,43.6154
800.025,-0.324328,44.2227
800.026,-0.328844,44.8386
800.026,-0.333424,45.463
800.027,-0.338067,46.096
800.028,-0.342775,46.738
800.029,-0.347548,47.3888
800.03,-0.352388,48.0487
800.03,-0.357295,48.7178
800.031,-0.362271,49.3962
800.032,-0.367316,50.0841
800.033,-0.372431,50.7815
800.034,-0.377617,51.4887
800.035,-0.382876,52.2057
800.036,-0.388208,52.9327
800.037,-0.393614,53.6698
800.038,-0.399096,54.4171
800.039,-0.404653,55.1749
800.04,-0.410289,55.9433
800.041,-0.416002,56.7223
800.042,-0.421795,57.5122
800.044,-0.427669,58.3131
800.045,-0.433625,59.1251
800.046,-0.439664,59.9484
800.047,-0.445787,60.7832
800.049,-0.451995,61.6297
800.05,-0.458289,62.4879
800.051,-0.464671,63.358
800.053,-0.471143,64.2403
800.054,-0.477704,65.1349
800.056,-0.484356,66.0419
800.057,-0.491102,66.9616
800.059,-0.497941,67.8941
800.061,-0.504875,68.8395
800.062,-0.511906,69.7981
800.064,-0.519035,70.7701
800.066,-0.526264,71.7556
800.068,-0.533593,72.7548
800.07,-0.541024,73.768
800.072,-0.548558,74.7952
800.074,-0.556198,75.8368
800.076,-0.563943,76.8928
800.078,-0.571797,77.9636
800.08,-0.57976,79.0493
800.082,-0.587834,80.1501
800.085,-0.596021,81.2662
800.087,-0.604322,82.3979
800.089,-0.612738,83.5453
800.092,-0.621271,84.7087
800.094,-0.629923,85.8883
800.097,-0.638696,87.0843
800.1,-0.647591,88.297
800.103,-0.65661,89.5266
800.105,-0.665755,90.7733
800.108,-0.675027,92.0373
800.111,-0.684428,93.319
800.115,-0.69396,94.6185
800.118,-0.703625,95.9361
800.121,-0.713424,97.272
800.125,-0.72336,98.6266
800.128,-0.733435,100
800.132,-0.743649,101.393
800.135,-0.754006,102.804
800.139,-0.764508,104.236
800.143,-0.775155,105.688
800.147,-0.785951,107.159
800.151,-0.796898,108.652
800.155,-0.807997,110.165
800.16,-0.81925,111.699
800.164,-0.830661,113.254
800.169,-0.84223,114.831
800.174,-0.85396,116.43
800.178,-0.865854,118.052
800.183,-0.877914,119.696
800.189,-0.890142,121.362
800.194,-0.90254,123.052
800.199,-0.915111,124.766
800.205,-0.927857,126.503
800.211,-0.94078,128.265
800.217,-0.953884,130.051
800.223,-0.96717,131.862
800.229,-0.980641,133.698
800.235,-0.994301,135.56
800.242,-1.00815,137.448
800.249,-1.02219,139.362
800.256,-1.03643,141.303
800.263,-1.05087,143.27
800.27,-1.06551,145.265
800.278,-1.08035,147.288
800.286,-1.0954,149.339
800.294,-1.11065,151.419
800.302,-1.12613,153.528
800.31,-1.14181,155.665
800.319,-1.15772,157.833
800.328,-1.17384,160.031
800.337,-1.1902,162.26
800.347,-1.20678,164.519
800.356,-1.22359,166.81
800.366,-1.24063,169.133
800.377,-1.25792,171.488
800.387,-1.27544,173.876
800.398,-1.29321,176.298
800.409,-1.31122,178.753
800.421,-1.32949,181.242
800.432,-1.34801,183.766
800.445,-1.36679,186.325
800.457,-1.38584,188.919
800.47,-1.40514,191.55
800.483,-1.42472,194.217
800.497,-1.44457,196.922
800.511,-1.4647,199.664
800.525,-1.4851,202.445
800.54,-1.5058,205.264
800.555,-1.52678,208.122
800.57,-1.54805,211.02
800.586,-1.56962,213.959
800.603,-1.59149,216.938
800.62,-1.61367,219.959
800.637,-1.63615,223.022
800.655,-1.65895,226.128
800.673,-1.68207,229.277
800.692,-1.70551,232.47
800.712,-1.72928,235.707
800.732,-1.75338,238.989
800.752,-1.77781,242.317
800.773,-1.80259,245.692
800.795,-1.82771,249.113
800.817,-1.85319,252.582
800.84,-1.87901,256.099
800.864,-1.9052,259.666
800.888,-1.93176,263.282
800.913,-1.95868,266.948
800.939,-1.98599,270.665
800.965,-2.01367,274.434
800.992,-2.04174,278.256
801.02,-2.0702,282.131
801.048,-2.09906,286.06
801.078,-2.12832,290.043
801.108,-2.158,294.082
801.139,-2.18808,298.177
801.171,-2.21859,302.329
801.204,-2.24952,306.54
801.238,-2.28089,310.808
801.273,-2.31269,315.136
801.308,-2.34494,319.525
801.345,-2.37764,323.974
801.383,-2.4108,328.486
801.422,-2.44442,333.06
801.462,-2.47851,337.698
801.503,-2.51307,342.401
801.545,-2.54813,347.169
801.588,-2.58367,352.003
801.633,-2.61971,356.905
801.679,-2.65625,361.875
801.726,-2.69331,366.914
801.774,-2.73088,372.024
801.824,-2.76898,377.204
801.876,-2.80761,382.457
801.928,-2.84679,387.783
801.982,-2.88651,393.183
802.038,-2.92679,398.658
802.095,-2.96764,404.21
802.154,-3.00906,409.838
802.215,-3.05105,415.546
802.277,-3.09364,421.332
802.341,-3.13682,427.199
802.407,-3.18061,433.148
802.475,-3.22502,439.18
802.544,-3.27005,445.296
802.616,-3.31571,451.497
802.689,-3.36201,457.784
802.765,-3.40896,464.159
802.843,-3.45657,470.622
802.922,-3.50485,477.176
803.005,-3.55381,483.821
803.089,-3.60345,490.558
803.176,-3.6538,497.39
803.265,-3.70485,504.316
803.357,-3.75662,511.339
803.452,-3.80912,518.459
803.549,-3.86235,525.679
803.649,-3.91634,532.999
803.751,-3.97109,540.422
803.857,-4.02661,547.947
803.965,-4.08291,555.578
804.077,-4.14001,563.314
804.192,-4.19791,571.159
804.31,-4.25663,579.112
804.431,-4.31617,587.177
804.556,-4.37656,595.353
804.684,-4.4378,603.644
804.816,-4.49991,612.05
804.952,-4.56289,620.573
805.092,-4.62676,629.215
805.235,-4.69154,637.977
805.383,-4.75724,646.861
805.534,-4.82386,655.869
805.69,-4.89143,665.002
805.851,-4.95996,674.262
806.016,-5.02946,683.652
806.186,-5.09995,693.172
806.36,-5.17143,702.824
806.54,-5.24393,712.612
806.724,-5.31747,722.535
806.914,-5.39205,732.597
807.109,-5.46768,742.798
807.31,-5.5444,753.142
807.516,-5.62221,763.63
807.728,-5.70113,774.264
807.947,-5.78117,785.046
808.171,-5.86236,795.978
808.402,-5.94471,807.062
808.64,-6.02823,818.301
808.884,-6.11295,829.696
809.135,-6.19888,841.25
809.394,-6.28605,852.964
809.66,-6.37446,864.842
809.933,-6.46414,876.886
810.214,-6.55511,889.097
810.503,-6.64739,901.478
810.801,-6.741,914.031
811.107,-6.83595,926.759
811.422,-6.93228,939.665
811.746,-7.02999,952.75
812.079,-7.12912,966.017
812.421,-7.22967,979.47
812.774,-7.33169,993.109
813.136,-7.43518,1006.94
813.509,-7.54018,1020.96
813.893,-7.6467,1035.18
814.288,-7.75476,1049.59
814.694,-7.86441,1064.21
815.112,-7.97565,1079.03
815.542,-8.08851,1094.05
815.984,-8.20303,1109.29
816.439,-8.31922,1124.74
816.907,-8.43711,1140.4
817.389,-8.55674,1156.28
817.885,-8.67812,1172.38
818.395,-8.80129,1188.71
818.92,-8.92628,1205.26
819.46,-9.05311,1222.04
820.016,-9.18182,1239.06
820.588,-9.31244,1256.32
821.176,-9.44499,1273.81
821.782,-9.57952,1291.55
822.406,-9.71606,1309.54
823.047,-9.85463,1327.77
823.708,-9.99528,1346.26
824.388,-10.138,1365.01
825.087,-10.2829,1384.02
825.808,-10.43,1403.29
826.549,-10.5793,1422.83
827.312,-10.7309,1442.64
828.098,-10.8847,1462.73
828.907,-11.0409,1483.1
829.74,-11.1995,1503.76
830.597,-11.3605,1524.7
831.48,-11.524,1545.93
832.389,-11.6899,1567.46
833.325,-11.8584,1589.28
834.289,-12.0296,1611.41
835.282,-12.2034,1633.85
836.304,-12.3798,1656.61
837.357,-12.5591,1679.67
838.442,-12.7411,1703.07
839.559,-12.926,1726.78
840.709,-13.1138,1750.83
841.895,-13.3046,1775.21
843.116,-13.4983,1799.93
844.374,-13.6952,1824.99
845.67,-13.8952,1850.41
847.006,-14.0985,1876.17
848.382,-14.3049,1902.3
849.8,-14.5148,1928.79
851.262,-14.728,1955.65
852.769,-14.9447,1982.88
854.322,-15.165,2010.5
855.922,-15.3889,2038.49
857.572,-15.6165,2066.88
859.274,-15.8479,2095.66
861.028,-16.0831,2124.85
862.836,-16.3223,2154.43
864.702,-16.5655,2184.44
866.625,-16.8129,2214.86
868.609,-17.0645,2245.7
870.656,-17.3204,2276.97
872.767,-17.5807,2308.68
874.945,-17.8456,2340.83
877.192,-18.1151,2373.42
879.512,-18.3893,2406.48
881.905,-18.6684,2439.99
884.375,-18.9524,2473.96
886.925,-19.2416,2508.42
889.558,-19.536,2543.35
892.276,-19.8358,2578.76
895.082,-20.1411,2614.67
897.981,-20.4521,2651.08
900.974,-20.7689,2688
904.067,-21.0916,2725.43
907.262,-21.4205,2763.39
910.563,-21.7557,2801.87
913.975,-22.0973,2840.88
917.502,-22.4457,2880.44
921.147,-22.8009,2920.56
924.916,-23.1632,2961.23
928.813,-23.5328,3002.46
932.843,-23.9099,3044.27
937.012,-24.2948,3086.66
941.325,-24.6877,3129.65
945.788,-25.0888,3173.23
950.407,-25.4984,3217.42
955.188,-25.9169,3262.22
960.137,-26.3445,3307.65
965.262,-26.7816,3353.71
970.57,-27.2284,3400.41
976.068,-27.6853,3447.76
981.765,-28.1527,3495.78
987.668,-28.631,3544.46
993.787,-29.1206,3593.81
1000.13,-29.6219,3643.86
1006.71,-30.1355,3694.6
1013.53,-30.6617,3746.05
1020.61,-31.2011,3798.22
1027.95,-31.7542,3851.11
1035.57,-32.3217,3904.74
1043.48,-32.9042,3959.11
1051.69,-33.5022,4014.24
1060.22,-34.1165,4070.14
1069.08,-34.7479,4126.82
1078.28,-35.3972,4184.29
1087.84,-36.0651,4242.56
1097.78,-36.7526,4301.64
1108.11,-37.4607,4361.54
1118.85,-38.1904,4422.27
1130.02,-38.9427,4483.86
1141.64,-39.719,4546.3
1153.72,-40.5203,4609.6
1166.28,-41.3481,4673.8
1179.36,-42.2038,4738.88
1192.96,-43.089,4804.87
1207.1,-44.0053,4871.78
1221.82,-44.9546,4939.62
1237.13,-45.9386,5008.41
1253.05,-46.9596,5078.15
1269.6,-48.0196,5148.87
1286.8,-49.1211,5220.57
1304.68,-50.2666,5293.27
1323.23,-51.4587,5366.98
1342.48,-52.7004,5441.71
1362.44,-53.9948,5517.49
1383.1,-55.3451,5594.33
1404.46,-56.7548,5672.23
1426.52,-58.2277,5751.22
1449.25,-59.7677,5831.31
1472.61,-61.3788,5912.51
1496.56,-63.0652,5994.84
1521.02,-64.8314,6078.32
1545.91,-66.6819,6162.97
1571.12,-68.6212,6248.79
1596.49,-70.6537,6335.8
1621.85,-72.7837,6424.03
1646.99,-75.0154,6513.49
1671.64,-77.3523,6604.19
1695.52,-79.7974,6696.16
1718.27,-82.3529,6789.41
1739.51,-85.0197,6883.95
1758.81,-87.7977,6979.81
1775.72,-90.6849,7077.01
1789.75,-93.6775,7175.56
1800.42,-96.7697,7275.48
1807.28,-99.9535,7376.8
1809.88,-103.219,7479.52
1807.89,-106.552,7583.68
1801.01,-109.941,7689.28
1789.11,-113.367,7796.36
1772.14,-116.814,7904.93
1750.21,-120.263,8015.01
1723.56,-123.698,8126.62
1692.53,-127.099,8239.79
1657.58,-130.452,8354.53
1619.23,-133.742,8470.87
1578.05,-136.956,8588.83
1534.64,-140.083,8708.43
1489.57,-143.116,8829.7
1443.39,-146.049,8952.66
1396.61,-148.878,9077.33
1349.68,-151.6,9203.73
1302.99,-154.217,9331.9
1256.88,-156.728,9461.85
1211.6,-159.136,9593.61
1167.37,-161.443,9727.2
1124.36,-163.654,9862.66
1082.69,-165.772,10000
1042.44,-167.801,10139.3
1003.66,-169.746,10280.4
966.372,-171.612,10423.6
930.583,-173.403,10568.8
896.28,-175.123,10715.9
863.438,-176.776,10865.2
832.021,-178.366,11016.5
801.986,-179.898,11169.9
773.287,-181.375,11325.4
745.872,-182.8,11483.1
719.689,-184.176,11643
694.684,-185.507,11805.2
670.805,-186.796,11969.6
647.998,-188.044,12136.2
626.211,-189.255,12305.2
605.396,-190.431,12476.6
585.503,-191.573,12650.3
566.486,-192.684,12826.5
548.3,-193.766,13005.1
530.903,-194.821,13186.2
514.255,-195.849,13369.8
498.317,-196.853,13556
483.054,-197.833,13744.8
468.429,-198.791,13936.2
454.411,-199.729,14130.3
440.97,-200.647,14327
428.075,-201.546,14526.5
415.7,-202.428,14728.8
403.818,-203.293,14933.9
392.405,-204.141,15141.9
381.438,-204.974,15352.8
370.894,-205.793,15566.5
360.755,-206.598,15783.3
350.999,-207.389,16003.1
341.609,-208.167,16226
332.567,-208.933,16451.9
323.857,-209.688,16681
315.464,-210.431,16913.3
307.372,-211.163,17148.8
299.568,-211.884,17387.6
292.04,-212.595,17629.8
284.774,-213.297,17875.3
277.758,-213.989,18124.2
270.983,-214.672,18376.6
264.436,-215.346,18632.5
258.109,-216.011,18891.9
251.992,-216.668,19155
246.076,-217.316,19421.7
240.352,-217.957,19692.2
234.812,-218.59,19966.4
229.449,-219.215,20244.5
224.255,-219.833,20526.4
219.224,-220.443,20812.2
214.348,-221.047,21102
209.623,-221.643,21395.9
205.04,-222.233,21693.8
200.596,-222.816,21995.9
196.284,-223.393,22302.2
192.1,-223.962,22612.8
188.038,-224.526,22927.7
184.093,-225.083,23247
180.263,-225.635,23570.7
176.541,-226.18,23898.9
172.924,-226.719,24231.7
169.408,-227.252,24569.2
165.989,-227.779,24911.3
162.665,-228.301,25258.2
159.431,-228.817,25609.9
156.283,-229.327,25966.6
153.22,-229.832,26328.2
150.239,-230.331,26694.8
147.335,-230.825,27066.5
144.507,-231.314,27443.4
141.752,-231.797,27825.6
139.067,-232.274,28213.1
136.45,-232.747,28606
133.899,-233.215,29004.3
131.412,-233.677,29408.2
128.986,-234.134,29817.7
126.619,-234.586,30232.9
124.31,-235.033,30654
122.057,-235.476,31080.8
119.857,-235.913,31513.6
117.709,-236.345,31952.5
115.612,-236.773,32397.4
113.564,-237.196,32848.6
111.563,-237.614,33306
109.608,-238.028,33769.8
107.697,-238.436,34240.1
105.829,-238.84,34716.9
104.003,-239.24,35200.3
102.218,-239.635,35690.5
100.472,-240.025,36187.5
98.7642,-240.411,36691.4
97.0934,-240.793,37202.4
95.4585,-241.17,37720.4
93.8585,-241.543,38245.7
92.2924,-241.911,38778.3
90.7593,-242.275,39318.3
89.2582,-242.635,39865.8
87.7882,-242.991,40421
86.3485,-243.342,40983.8
84.9381,-243.69,41554.6
83.5564,-244.033,42133.2
82.2025,-244.372,42719.9
80.8757,-244.707,43314.8
79.5753,-245.038,43918
78.3005,-245.365,44529.6
77.0506,-245.689,45149.7
75.8252,-246.008,45778.4
74.6234,-246.323,46415.9
73.4446,-246.635,47062.2
72.2884,-246.943,47717.6
71.1542,-247.247,48382.1
70.0413,-247.547,49055.8
68.9492,-247.844,49739
67.8775,-248.137,50431.6
66.8256,-248.426,51133.9
65.793,-248.712,51845.9
64.7793,-248.995,52567.9
63.7841,-249.273,53299.9
62.8068,-249.549,54042.2
61.8471,-249.821,54794.7
